passbook_number,farmer_name,mobile_number,village,mandal,district,survey_number,total_land_acres,latitude,longitude
PPB000473,Anil Sharma,9704310385,Nalgonda,Nalgonda,Nalgonda,SY000473,4.71,17.046856,79.269921
PPB000474,Vijay Varma,9887749242,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000474,8.1,17.184536,78.569438
PPB000475,Arjun Kumar,9254729284,Shamirpet,Shamirpet,Medchal,SY000475,2.64,17.588207,78.569162
PPB000476,Ravi Naidu,9105927452,Miyapur,Serilingampally,Hyderabad,SY000476,2.85,17.500143,78.360311
PPB000477,Ravi Patel,9782841067,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000477,7.92,17.198956,78.580556
PPB000478,Ramesh Goud,9854749297,Miyapur,Serilingampally,Hyderabad,SY000478,4.05,17.488246,78.35658
PPB000479,Ravi Goud,9140693751,Kondapur,Serilingampally,Hyderabad,SY000479,3.94,17.460163,78.349903
PPB000480,Mahesh Yadav,9301871863,Suryapet,Suryapet,Suryapet,SY000480,5.41,17.142063,79.620231
PPB000481,Venkat Patel,9626565045,Kondapur,Serilingampally,Hyderabad,SY000481,4.16,17.46755,78.363486
PPB000482,Mahesh Verma,9674266299,Gachibowli,Serilingampally,Hyderabad,SY000482,1.77,17.434256,78.348392
PPB000483,Anil Reddy,9961064628,Suryapet,Suryapet,Suryapet,SY000483,5.16,17.141358,79.628297
PPB000484,Ravi Sharma,9487049478,Bachupally,Quthbullapur,Medchal,SY000484,7.66,17.54049,78.372824
PPB000485,Kiran Yadav,9714627301,Miyapur,Serilingampally,Hyderabad,SY000485,7.88,17.495861,78.366413
PPB000486,Mohan Patel,9979647158,Kodad,Kodad,Suryapet,SY000486,7.6,16.988351,79.960191
PPB000487,Ramesh Rao,9572520456,Kodad,Kodad,Suryapet,SY000487,6.73,17.007103,79.955974
PPB000488,Srikanth Reddy,9832192855,Shamirpet,Shamirpet,Medchal,SY000488,8.44,17.598399,78.561021
PPB000489,Suresh Goud,9952028457,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000489,4.71,17.198418,78.565261
PPB000490,Ravi Goud,9338988816,Bachupally,Quthbullapur,Medchal,SY000490,5.14,17.537528,78.373377
PPB000491,Vijay Patel,9452798524,Kondapur,Serilingampally,Hyderabad,SY000491,1.26,17.464291,78.350447
PPB000492,Mohan Naidu,9423216110,Miyapur,Serilingampally,Hyderabad,SY000492,7.97,17.501147,78.34785
PPB000493,Ramesh Goud,9907140140,Gachibowli,Serilingampally,Hyderabad,SY000493,7.79,17.445747,78.357302
PPB000494,Prakash Naidu,9250124955,Bachupally,Quthbullapur,Medchal,SY000494,2.45,17.546013,78.371571
PPB000495,Srikanth Varma,9119083342,Bachupally,Quthbullapur,Medchal,SY000495,9.11,17.546743,78.376472
PPB000496,Venkat Naidu,9875927125,Gachibowli,Serilingampally,Hyderabad,SY000496,9.83,17.438582,78.349185
PPB000497,Suresh Patel,9171827548,Shadnagar,Shadnagar,Rangareddy,SY000497,7.5,17.061645,78.204874
PPB000498,Kiran Verma,9947386463,Shadnagar,Shadnagar,Rangareddy,SY000498,8.71,17.077895,78.211049
PPB000499,Ravi Kumar,9716781126,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000499,4.61,17.191811,78.564034
PPB000500,Suresh Patel,9353961367,Miyapur,Serilingampally,Hyderabad,SY000500,3.51,17.50027,78.358638
PPB000501,Arjun Sharma,9579678427,Shamirpet,Shamirpet,Medchal,SY000501,1.97,17.589714,78.564945
PPB000502,Ramesh Reddy,9017026952,Miyapur,Serilingampally,Hyderabad,SY000502,3.72,17.498465,78.362203
PPB000503,Arjun Verma,9734778485,Suryapet,Suryapet,Suryapet,SY000503,8.29,17.140811,79.610353
PPB000504,Rajesh Reddy,9675677002,Kondapur,Serilingampally,Hyderabad,SY000504,6.01,17.465207,78.352061
PPB000505,Vijay Sharma,9246719788,Miyapur,Serilingampally,Hyderabad,SY000505,6.15,17.495518,78.364087
PPB000506,Ramesh Sharma,9479695450,Suryapet,Suryapet,Suryapet,SY000506,1.25,17.130902,79.626739
PPB000507,Arjun Varma,9056165565,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000507,1.51,17.184885,78.566692
PPB000508,Prakash Reddy,9141520850,Shamirpet,Shamirpet,Medchal,SY000508,5.15,17.601967,78.566361
PPB000509,Kiran Kumar,9790569659,Shadnagar,Shadnagar,Rangareddy,SY000509,1.88,17.069767,78.208817
PPB000510,Anil Verma,9852945637,Bachupally,Quthbullapur,Medchal,SY000510,6.72,17.555482,78.358506
PPB000511,Mahesh Yadav,9404963919,Suryapet,Suryapet,Suryapet,SY000511,1.85,17.136737,79.611345
PPB000512,Vijay Sharma,9351484685,Suryapet,Suryapet,Suryapet,SY000512,2.8,17.138046,79.622499
PPB000513,Naveen Goud,9208297374,Nalgonda,Nalgonda,Nalgonda,SY000513,9.43,17.050654,79.269288
PPB000514,Venkat Varma,9083572324,Shadnagar,Shadnagar,Rangareddy,SY000514,8.6,17.068205,78.212204
PPB000515,Naveen Naidu,9644249363,Gachibowli,Serilingampally,Hyderabad,SY000515,2.02,17.433938,78.343812
PPB000516,Vijay Verma,9866032420,Shamirpet,Shamirpet,Medchal,SY000516,3.33,17.600771,78.568173
PPB000517,Naveen Kumar,9700159416,Miyapur,Serilingampally,Hyderabad,SY000517,9.07,17.499433,78.364714
PPB000518,Naresh Rao,9319818984,Shadnagar,Shadnagar,Rangareddy,SY000518,5.47,17.061805,78.206996
PPB000519,Anil Varma,9636321234,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000519,4.96,17.185086,78.57379
PPB000520,Srikanth Patel,9158673425,Nalgonda,Nalgonda,Nalgonda,SY000520,5.28,17.047355,79.263163
PPB000521,Ramesh Kumar,9348645183,Kodad,Kodad,Suryapet,SY000521,8.72,16.995769,79.973196
PPB000522,Venkat Yadav,9413432756,Shadnagar,Shadnagar,Rangareddy,SY000522,8.1,17.065481,78.196602
PPB000523,Vijay Sharma,9561248156,Nalgonda,Nalgonda,Nalgonda,SY000523,6.42,17.056269,79.271756
PPB000524,Mohan Kumar,9027206345,Nalgonda,Nalgonda,Nalgonda,SY000524,6.18,17.042217,79.261992
PPB000525,Naresh Varma,9657724295,Miyapur,Serilingampally,Hyderabad,SY000525,8.2,17.489973,78.35529
PPB000526,Rajesh Sharma,9930089317,Miyapur,Serilingampally,Hyderabad,SY000526,2.78,17.500025,78.350375
PPB000527,Prakash Sharma,9942152910,Shadnagar,Shadnagar,Rangareddy,SY000527,7.47,17.068703,78.2134
PPB000528,Naresh Verma,9133344762,Nalgonda,Nalgonda,Nalgonda,SY000528,4.88,17.044132,79.261311
PPB000529,Mohan Naidu,9626204439,Shamirpet,Shamirpet,Medchal,SY000529,5.06,17.589666,78.566658
PPB000530,Suresh Kumar,9725636694,Nalgonda,Nalgonda,Nalgonda,SY000530,1.66,17.05114,79.258042
PPB000531,Vijay Patel,9990048964,Bachupally,Quthbullapur,Medchal,SY000531,9.8,17.549425,78.359645
PPB000532,Ramesh Varma,9242875721,Suryapet,Suryapet,Suryapet,SY000532,3.86,17.140608,79.612836
PPB000533,Anil Kumar,9274564494,Gachibowli,Serilingampally,Hyderabad,SY000533,5.65,17.438816,78.3422
PPB000534,Arjun Rao,9870320320,Nalgonda,Nalgonda,Nalgonda,SY000534,5.23,17.043271,79.266343
PPB000535,Venkat Verma,9075877712,Gachibowli,Serilingampally,Hyderabad,SY000535,2.11,17.431972,78.356263
PPB000536,Naresh Rao,9849939089,Miyapur,Serilingampally,Hyderabad,SY000536,2.63,17.504408,78.351923
PPB000537,Naveen Reddy,9504165915,Nalgonda,Nalgonda,Nalgonda,SY000537,2.38,17.041621,79.273614
PPB000538,Vijay Yadav,9905097592,Nalgonda,Nalgonda,Nalgonda,SY000538,2.9,17.040974,79.269873
PPB000539,Arjun Kumar,9189616423,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000539,9.69,17.19731,78.563784
PPB000540,Ravi Sharma,9642147649,Bachupally,Quthbullapur,Medchal,SY000540,2.18,17.54931,78.373641
PPB000541,Mahesh Verma,9767499616,Suryapet,Suryapet,Suryapet,SY000541,8.3,17.142277,79.618682
PPB000542,Suresh Kumar,9857327881,Shadnagar,Shadnagar,Rangareddy,SY000542,3.62,17.068747,78.213144
PPB000543,Kiran Rao,9243864908,Nalgonda,Nalgonda,Nalgonda,SY000543,1.69,17.040902,79.259153
PPB000544,Rajesh Reddy,9794549180,Shadnagar,Shadnagar,Rangareddy,SY000544,2.03,17.073232,78.198591
PPB000545,Naresh Sharma,9016459779,Miyapur,Serilingampally,Hyderabad,SY000545,8.27,17.492827,78.365362
PPB000546,Mahesh Rao,9194168006,Miyapur,Serilingampally,Hyderabad,SY000546,2.05,17.489435,78.356542
PPB000547,Naresh Varma,9749956412,Shadnagar,Shadnagar,Rangareddy,SY000547,2.22,17.063816,78.211319
PPB000548,Naresh Kumar,9372368314,Bachupally,Quthbullapur,Medchal,SY000548,7.93,17.538963,78.365438
PPB000549,Ravi Rao,9777079334,Gachibowli,Serilingampally,Hyderabad,SY000549,6.12,17.446777,78.339918
PPB000550,Suresh Sharma,9679984076,Kondapur,Serilingampally,Hyderabad,SY000550,5.37,17.459821,78.35823
PPB000551,Mahesh Kumar,9806958146,Nalgonda,Nalgonda,Nalgonda,SY000551,9.0,17.042339,79.269454
PPB000552,Vijay Sharma,9024375738,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000552,2.98,17.198181,78.568783
PPB000553,Naresh Verma,9246657293,Kodad,Kodad,Suryapet,SY000553,3.54,17.002985,79.968341
PPB000554,Ravi Naidu,9297167433,Miyapur,Serilingampally,Hyderabad,SY000554,6.01,17.505985,78.354176
PPB000555,Anil Rao,9280156193,Shamirpet,Shamirpet,Medchal,SY000555,2.09,17.589182,78.560156
PPB000556,Arjun Patel,9084289107,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000556,8.19,17.199253,78.577115
PPB000557,Arjun Varma,9918081213,Gachibowli,Serilingampally,Hyderabad,SY000557,9.2,17.433241,78.344742
PPB000558,Arjun Goud,9712552137,Nalgonda,Nalgonda,Nalgonda,SY000558,9.73,17.055384,79.257132
PPB000559,Anil Yadav,9821456532,Nalgonda,Nalgonda,Nalgonda,SY000559,7.78,17.050593,79.272744
PPB000560,Arjun Sharma,9667850720,Miyapur,Serilingampally,Hyderabad,SY000560,7.46,17.496347,78.348392
PPB000561,Anil Sharma,9260602908,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000561,9.75,17.188386,78.579716
PPB000562,Naresh Yadav,9550489267,Suryapet,Suryapet,Suryapet,SY000562,6.79,17.147752,79.622487
PPB000563,Naveen Verma,9563410856,Kodad,Kodad,Suryapet,SY000563,7.53,17.002801,79.95752
PPB000564,Kiran Naidu,9188485200,Suryapet,Suryapet,Suryapet,SY000564,9.01,17.140799,79.615174
PPB000565,Mohan Sharma,9810548510,Shamirpet,Shamirpet,Medchal,SY000565,7.81,17.603527,78.563975
PPB000566,Mohan Kumar,9753998935,Kodad,Kodad,Suryapet,SY000566,3.69,17.001338,79.971302
PPB000567,Naveen Rao,9683158935,Kodad,Kodad,Suryapet,SY000567,5.09,16.990931,79.963514
PPB000568,Suresh Reddy,9062737158,Shadnagar,Shadnagar,Rangareddy,SY000568,4.62,17.071179,78.210576
PPB000569,Prakash Verma,9677622827,Shamirpet,Shamirpet,Medchal,SY000569,7.4,17.587288,78.56909
PPB000570,Suresh Naidu,9770285196,Suryapet,Suryapet,Suryapet,SY000570,1.99,17.137392,79.615792
PPB000571,Ravi Reddy,9545447022,Suryapet,Suryapet,Suryapet,SY000571,8.05,17.138435,79.628736
PPB000572,Venkat Yadav,9327018510,Shamirpet,Shamirpet,Medchal,SY000572,4.76,17.596161,78.566315
PPB000573,Arjun Sharma,9792287772,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000573,8.8,17.186504,78.577996
PPB000574,Rajesh Sharma,9365807412,Kodad,Kodad,Suryapet,SY000574,7.36,16.99944,79.970923
PPB000575,Srikanth Reddy,9813989098,Shamirpet,Shamirpet,Medchal,SY000575,2.7,17.594217,78.572937
PPB000576,Naveen Goud,9204339718,Gachibowli,Serilingampally,Hyderabad,SY000576,6.46,17.438136,78.3398
PPB000577,Anil Sharma,9260856411,Kondapur,Serilingampally,Hyderabad,SY000577,9.82,17.458836,78.351707
PPB000578,Kiran Reddy,9246209520,Miyapur,Serilingampally,Hyderabad,SY000578,7.42,17.49196,78.348975
PPB000579,Rajesh Patel,9461033993,Miyapur,Serilingampally,Hyderabad,SY000579,5.44,17.501048,78.354701
PPB000580,Kiran Kumar,9578617063,Gachibowli,Serilingampally,Hyderabad,SY000580,9.22,17.430472,78.349982
PPB000581,Naveen Reddy,9382496718,Kodad,Kodad,Suryapet,SY000581,2.83,17.007358,79.962466
PPB000582,Arjun Naidu,9868700794,Miyapur,Serilingampally,Hyderabad,SY000582,6.88,17.489348,78.348204
PPB000583,Kiran Varma,9465398402,Nalgonda,Nalgonda,Nalgonda,SY000583,7.65,17.051262,79.263013
PPB000584,Mohan Reddy,9284639855,Shadnagar,Shadnagar,Rangareddy,SY000584,6.72,17.079593,78.209155
PPB000585,Mahesh Patel,9537950209,Shamirpet,Shamirpet,Medchal,SY000585,5.29,17.602729,78.568454
PPB000586,Srikanth Verma,9681180715,Shadnagar,Shadnagar,Rangareddy,SY000586,9.75,17.067528,78.207026
PPB000587,Ravi Kumar,9175370304,Shadnagar,Shadnagar,Rangareddy,SY000587,7.12,17.074184,78.19883
PPB000588,Naveen Yadav,9337504793,Kodad,Kodad,Suryapet,SY000588,1.06,17.007685,79.967769
PPB000589,Naresh Yadav,9987283999,Gachibowli,Serilingampally,Hyderabad,SY000589,2.58,17.441863,78.353819
PPB000590,Kiran Varma,9384308948,Miyapur,Serilingampally,Hyderabad,SY000590,8.95,17.486039,78.355542
PPB000591,Naresh Patel,9664187758,Kondapur,Serilingampally,Hyderabad,SY000591,7.83,17.465676,78.350491
PPB000592,Venkat Sharma,9875063519,Shamirpet,Shamirpet,Medchal,SY000592,8.27,17.604505,78.559513
PPB000593,Suresh Naidu,9325411076,Shadnagar,Shadnagar,Rangareddy,SY000593,8.27,17.071851,78.207526
PPB000594,Naresh Yadav,9317350583,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000594,9.49,17.195515,78.574391
PPB000595,Naveen Verma,9911006512,Gachibowli,Serilingampally,Hyderabad,SY000595,1.56,17.446148,78.339996
PPB000596,Naveen Sharma,9110804661,Kodad,Kodad,Suryapet,SY000596,6.56,16.996222,79.972292
PPB000597,Ramesh Verma,9676991507,Kodad,Kodad,Suryapet,SY000597,5.65,16.999756,79.95716
PPB000598,Prakash Reddy,9939284567,Kondapur,Serilingampally,Hyderabad,SY000598,7.52,17.456892,78.350863
PPB000599,Ramesh Rao,9496854982,Kondapur,Serilingampally,Hyderabad,SY000599,2.33,17.454173,78.352858
PPB000600,Ramesh Goud,9920388065,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000600,2.76,17.184007,78.58017
PPB000601,Anil Naidu,9779599594,Gachibowli,Serilingampally,Hyderabad,SY000601,4.77,17.433346,78.347986
PPB000602,Vijay Naidu,9033793375,Kondapur,Serilingampally,Hyderabad,SY000602,8.27,17.455518,78.354006
PPB000603,Anil Kumar,9150812473,Kondapur,Serilingampally,Hyderabad,SY000603,6.68,17.466254,78.353198
PPB000604,Mahesh Naidu,9423425832,Kondapur,Serilingampally,Hyderabad,SY000604,2.76,17.451522,78.351236
PPB000605,Ramesh Rao,9615347355,Gachibowli,Serilingampally,Hyderabad,SY000605,6.95,17.448923,78.358442
PPB000606,Venkat Sharma,9112233865,Kodad,Kodad,Suryapet,SY000606,3.86,16.996591,79.967723
PPB000607,Arjun Varma,9938425304,Kondapur,Serilingampally,Hyderabad,SY000607,8.86,17.46503,78.365368
PPB000608,Mahesh Reddy,9791286857,Nalgonda,Nalgonda,Nalgonda,SY000608,5.67,17.04358,79.27125
PPB000609,Mohan Verma,9774969033,Suryapet,Suryapet,Suryapet,SY000609,9.05,17.139042,79.614688
PPB000610,Kiran Sharma,9692548121,Bachupally,Quthbullapur,Medchal,SY000610,3.66,17.546376,78.361604
PPB000611,Vijay Goud,9956776657,Kondapur,Serilingampally,Hyderabad,SY000611,3.85,17.455647,78.349591
PPB000612,Kiran Reddy,9514888143,Bachupally,Quthbullapur,Medchal,SY000612,1.89,17.537427,78.357766
PPB000613,Anil Naidu,9544439284,Bachupally,Quthbullapur,Medchal,SY000613,1.08,17.541989,78.373446
PPB000614,Rajesh Varma,9078263337,Shadnagar,Shadnagar,Rangareddy,SY000614,3.1,17.07174,78.206052
PPB000615,Mohan Verma,9515366377,Nalgonda,Nalgonda,Nalgonda,SY000615,8.68,17.040602,79.259779
PPB000616,Kiran Kumar,9755366684,Miyapur,Serilingampally,Hyderabad,SY000616,3.93,17.486465,78.362707
PPB000617,Ravi Patel,9999966361,Miyapur,Serilingampally,Hyderabad,SY000617,5.81,17.489767,78.349173
PPB000618,Vijay Yadav,9121820970,Kodad,Kodad,Suryapet,SY000618,2.68,16.98939,79.97426
PPB000619,Mahesh Naidu,9481705802,Shamirpet,Shamirpet,Medchal,SY000619,3.94,17.602896,78.562822
PPB000620,Ravi Goud,9671632346,Gachibowli,Serilingampally,Hyderabad,SY000620,8.36,17.443396,78.342076
PPB000621,Kiran Varma,9387430271,Kodad,Kodad,Suryapet,SY000621,8.42,17.000097,79.959937
PPB000622,Venkat Varma,9777901475,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000622,7.3,17.194233,78.567949
PPB000623,Naresh Rao,9632967629,Kodad,Kodad,Suryapet,SY000623,1.86,17.001973,79.955873
PPB000624,Kiran Goud,9413768151,Miyapur,Serilingampally,Hyderabad,SY000624,7.8,17.496088,78.36259
PPB000625,Vijay Rao,9438070176,Shadnagar,Shadnagar,Rangareddy,SY000625,4.09,17.067987,78.198888
PPB000626,Ramesh Yadav,9125777118,Kondapur,Serilingampally,Hyderabad,SY000626,6.91,17.462272,78.354754
PPB000627,Naresh Yadav,9220912418,Nalgonda,Nalgonda,Nalgonda,SY000627,7.67,17.043369,79.270428
PPB000628,Naveen Yadav,9275230837,Kondapur,Serilingampally,Hyderabad,SY000628,7.27,17.46473,78.36223
PPB000629,Rajesh Yadav,9709006335,Gachibowli,Serilingampally,Hyderabad,SY000629,9.18,17.4341,78.339221
PPB000630,Ramesh Patel,9313122068,Kondapur,Serilingampally,Hyderabad,SY000630,1.97,17.454543,78.357241
PPB000631,Prakash Naidu,9866133155,Bachupally,Quthbullapur,Medchal,SY000631,2.56,17.544043,78.363325
PPB000632,Mahesh Verma,9314950136,Shadnagar,Shadnagar,Rangareddy,SY000632,3.71,17.071977,78.214662
PPB000633,Mohan Goud,9924195625,Gachibowli,Serilingampally,Hyderabad,SY000633,2.58,17.445334,78.352653
PPB000634,Suresh Patel,9099768389,Nalgonda,Nalgonda,Nalgonda,SY000634,7.34,17.040266,79.257424
PPB000635,Kiran Naidu,9639102574,Gachibowli,Serilingampally,Hyderabad,SY000635,2.82,17.437615,78.351741
PPB000636,Venkat Varma,9752450864,Bachupally,Quthbullapur,Medchal,SY000636,7.75,17.54058,78.371657
PPB000637,Mahesh Naidu,9803396852,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000637,4.98,17.180121,78.579397
PPB000638,Mahesh Kumar,9232129833,Gachibowli,Serilingampally,Hyderabad,SY000638,5.57,17.438625,78.348241
PPB000639,Mohan Naidu,9362934497,Miyapur,Serilingampally,Hyderabad,SY000639,9.71,17.490028,78.364249
PPB000640,Suresh Patel,9662776896,Nalgonda,Nalgonda,Nalgonda,SY000640,7.84,17.056392,79.272871
PPB000641,Arjun Sharma,9614982824,Kondapur,Serilingampally,Hyderabad,SY000641,4.42,17.454117,78.351665
PPB000642,Prakash Verma,9152732300,Suryapet,Suryapet,Suryapet,SY000642,8.75,17.144607,79.617485
PPB000643,Venkat Sharma,9656749160,Shadnagar,Shadnagar,Rangareddy,SY000643,9.93,17.06249,78.213643
PPB000644,Mahesh Sharma,9458750663,Miyapur,Serilingampally,Hyderabad,SY000644,3.18,17.48669,78.363263
PPB000645,Mohan Rao,9497243992,Kondapur,Serilingampally,Hyderabad,SY000645,1.11,17.463419,78.358888
PPB000646,Rajesh Varma,9183626448,Shadnagar,Shadnagar,Rangareddy,SY000646,9.71,17.07317,78.202656
PPB000647,Mohan Sharma,9119524364,Shamirpet,Shamirpet,Medchal,SY000647,1.06,17.588068,78.564834
PPB000648,Suresh Sharma,9864622522,Gachibowli,Serilingampally,Hyderabad,SY000648,2.78,17.43374,78.35787
PPB000649,Prakash Naidu,9230234679,Nalgonda,Nalgonda,Nalgonda,SY000649,1.98,17.052729,79.258596
PPB000650,Rajesh Reddy,9415093771,Gachibowli,Serilingampally,Hyderabad,SY000650,1.09,17.435422,78.358004
PPB000651,Arjun Kumar,9138069847,Kodad,Kodad,Suryapet,SY000651,5.26,16.994741,79.963589
PPB000652,Naveen Patel,9535669055,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000652,8.26,17.180062,78.579411
PPB000653,Mohan Rao,9091843579,Shadnagar,Shadnagar,Rangareddy,SY000653,7.18,17.077397,78.205298
PPB000654,Ramesh Patel,9050573976,Bachupally,Quthbullapur,Medchal,SY000654,7.65,17.551879,78.363967
PPB000655,Naveen Reddy,9649328980,Nalgonda,Nalgonda,Nalgonda,SY000655,2.15,17.055936,79.263027
PPB000656,Naresh Verma,9271783332,Suryapet,Suryapet,Suryapet,SY000656,7.78,17.143195,79.611789
PPB000657,Mohan Kumar,9256434712,Shadnagar,Shadnagar,Rangareddy,SY000657,9.3,17.072671,78.204839
PPB000658,Naresh Naidu,9991566863,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000658,3.01,17.182314,78.563754
PPB000659,Anil Varma,9319525690,Gachibowli,Serilingampally,Hyderabad,SY000659,3.8,17.441901,78.342697
PPB000660,Rajesh Patel,9528993160,Shadnagar,Shadnagar,Rangareddy,SY000660,5.84,17.069212,78.197894
PPB000661,Naresh Naidu,9772942095,Shamirpet,Shamirpet,Medchal,SY000661,3.78,17.604507,78.557469
PPB000662,Vijay Naidu,9746052330,Kodad,Kodad,Suryapet,SY000662,9.31,17.003521,79.972136
PPB000663,Kiran Rao,9086567566,Shadnagar,Shadnagar,Rangareddy,SY000663,1.65,17.074535,78.200647
PPB000664,Mohan Goud,9612590472,Bachupally,Quthbullapur,Medchal,SY000664,6.19,17.544838,78.366649
PPB000665,Mahesh Naidu,9305912662,Miyapur,Serilingampally,Hyderabad,SY000665,9.33,17.487921,78.366483
PPB000666,Ramesh Reddy,9859626301,Miyapur,Serilingampally,Hyderabad,SY000666,3.17,17.495773,78.36076
PPB000667,Naveen Sharma,9176475011,Miyapur,Serilingampally,Hyderabad,SY000667,1.74,17.495784,78.360376
PPB000668,Mahesh Kumar,9999741926,Suryapet,Suryapet,Suryapet,SY000668,5.36,17.142892,79.618673
PPB000669,Ravi Reddy,9518260688,Kodad,Kodad,Suryapet,SY000669,8.05,16.998602,79.956279
PPB000670,Srikanth Reddy,9312920875,Kodad,Kodad,Suryapet,SY000670,2.11,16.990576,79.959125
PPB000671,Suresh Goud,9401184582,Miyapur,Serilingampally,Hyderabad,SY000671,4.81,17.504905,78.347002
PPB000672,Ramesh Goud,9487297585,Shamirpet,Shamirpet,Medchal,SY000672,6.46,17.594912,78.568759
PPB000673,Mahesh Kumar,9324329839,Kondapur,Serilingampally,Hyderabad,SY000673,4.23,17.45057,78.358446
PPB000674,Srikanth Yadav,9462671462,Gachibowli,Serilingampally,Hyderabad,SY000674,5.82,17.431511,78.353553
PPB000675,Mohan Patel,9989262566,Bachupally,Quthbullapur,Medchal,SY000675,1.23,17.548072,78.35855
PPB000676,Srikanth Reddy,9861515542,Gachibowli,Serilingampally,Hyderabad,SY000676,8.82,17.434615,78.339097
PPB000677,Mahesh Sharma,9112849718,Shadnagar,Shadnagar,Rangareddy,SY000677,4.14,17.071443,78.20064
PPB000678,Prakash Reddy,9025625889,Shamirpet,Shamirpet,Medchal,SY000678,8.94,17.592753,78.566846
PPB000679,Ramesh Goud,9222694053,Shamirpet,Shamirpet,Medchal,SY000679,7.1,17.593065,78.564156
PPB000680,Anil Verma,9844683414,Nalgonda,Nalgonda,Nalgonda,SY000680,4.66,17.046255,79.258803
PPB000681,Suresh Naidu,9129014870,Gachibowli,Serilingampally,Hyderabad,SY000681,9.66,17.43858,78.349074
PPB000682,Vijay Verma,9881609306,Miyapur,Serilingampally,Hyderabad,SY000682,7.32,17.500993,78.351885
PPB000683,Naveen Varma,9097283215,Suryapet,Suryapet,Suryapet,SY000683,8.55,17.140274,79.62905
PPB000684,Vijay Sharma,9251538144,Shadnagar,Shadnagar,Rangareddy,SY000684,5.35,17.065295,78.195045
PPB000685,Rajesh Naidu,9480797050,Kodad,Kodad,Suryapet,SY000685,6.54,16.994571,79.962078
PPB000686,Anil Rao,9650167318,Kondapur,Serilingampally,Hyderabad,SY000686,5.63,17.451074,78.348477
PPB000687,Ramesh Rao,9437654562,Nalgonda,Nalgonda,Nalgonda,SY000687,5.83,17.04539,79.276787
PPB000688,Ravi Rao,9560531340,Nalgonda,Nalgonda,Nalgonda,SY000688,2.2,17.048421,79.263624
PPB000689,Ravi Naidu,9741678725,Kondapur,Serilingampally,Hyderabad,SY000689,7.76,17.463607,78.353998
PPB000690,Ravi Reddy,9102258030,Shadnagar,Shadnagar,Rangareddy,SY000690,7.1,17.066843,78.214529
PPB000691,Rajesh Verma,9447163928,Kondapur,Serilingampally,Hyderabad,SY000691,2.68,17.453623,78.3483
PPB000692,Mohan Naidu,9637189239,Shamirpet,Shamirpet,Medchal,SY000692,6.66,17.587675,78.557409
PPB000693,Ramesh Yadav,9326093106,Shadnagar,Shadnagar,Rangareddy,SY000693,4.67,17.066129,78.207666
PPB000694,Mahesh Patel,9670860414,Bachupally,Quthbullapur,Medchal,SY000694,4.27,17.55486,78.371232
PPB000695,Anil Kumar,9200053474,Bachupally,Quthbullapur,Medchal,SY000695,9.18,17.538015,78.360697
PPB000696,Anil Patel,9411082555,Nalgonda,Nalgonda,Nalgonda,SY000696,7.69,17.051778,79.269094
PPB000697,Naveen Yadav,9396112910,Bachupally,Quthbullapur,Medchal,SY000697,6.28,17.554244,78.370087
PPB000698,Mahesh Verma,9118954738,Bachupally,Quthbullapur,Medchal,SY000698,7.49,17.536876,78.360834
PPB000699,Mohan Yadav,9855716176,Suryapet,Suryapet,Suryapet,SY000699,5.71,17.149049,79.625818
PPB000700,Prakash Yadav,9240903678,Miyapur,Serilingampally,Hyderabad,SY000700,8.83,17.505431,78.35031
PPB000701,Rajesh Goud,9669432029,Suryapet,Suryapet,Suryapet,SY000701,2.96,17.143934,79.627583
PPB000702,Vijay Goud,9844344812,Suryapet,Suryapet,Suryapet,SY000702,3.02,17.140671,79.615837
PPB000703,Venkat Yadav,9240338105,Miyapur,Serilingampally,Hyderabad,SY000703,6.69,17.505444,78.353491
PPB000704,Kiran Rao,9694500534,Suryapet,Suryapet,Suryapet,SY000704,2.59,17.149432,79.620748
PPB000705,Suresh Sharma,9498373543,Kodad,Kodad,Suryapet,SY000705,6.23,17.004155,79.970058
PPB000706,Vijay Naidu,9652717272,Miyapur,Serilingampally,Hyderabad,SY000706,8.34,17.489522,78.358393
PPB000707,Naveen Yadav,9042269312,Miyapur,Serilingampally,Hyderabad,SY000707,1.65,17.490905,78.365183
PPB000708,Suresh Goud,9209166010,Shadnagar,Shadnagar,Rangareddy,SY000708,7.87,17.07289,78.195875
